"Code","Year","Entity","Fossil.fuels..TWh.growth...sub.method.","Coal..TWh.growth...sub.method.","Gas..TWh.growth...sub.method.","Oil..TWh.growth...sub.method.","region","sub.region"
"AUS",1979,"Australia",32.824,13.681,12.65,6.494,"Oceania","Australia and New Zealand"
"AUS",1988,"Australia",41.325,20.403,3.599,17.323,"Oceania","Australia and New Zealand"
"AUS",1970,"Australia",43.341,2.417,13.177,27.747,"Oceania","Australia and New Zealand"
"AUS",1994,"Australia",44.105,9.375,19.073,15.656,"Oceania","Australia and New Zealand"
"AUS",2000,"Australia",5.535,4.214,3.81,-2.489,"Oceania","Australia and New Zealand"
"AUS",1969,"Australia",18.568,7.583,3.822,7.163,"Oceania","Australia and New Zealand"
"AUS",1968,"Australia",27.607,6.444,0.265,20.897,"Oceania","Australia and New Zealand"
"AUS",1986,"Australia",29.934,9.347,12.377,8.21,"Oceania","Australia and New Zealand"
"AUS",1983,"Australia",3.816,-0.125,10.094,-6.153,"Oceania","Australia and New Zealand"
"AUS",1985,"Australia",4.478,12.236,8.635,-16.393,"Oceania","Australia and New Zealand"
"AUS",1978,"Australia",16.351,7.681,5.957,2.713,"Oceania","Australia and New Zealand"
"AUS",1977,"Australia",38.859,12.389,9.691,16.779,"Oceania","Australia and New Zealand"
"AUS",1974,"Australia",37.559,11.083,6.633,19.842,"Oceania","Australia and New Zealand"
"AUS",2008,"Australia",23.296,27.492,-4.849,0.653,"Oceania","Australia and New Zealand"
"AUS",2001,"Australia",13.16,-5.972,16.142,2.989,"Oceania","Australia and New Zealand"
"AUS",2006,"Australia",83.306,17.283,26.841,39.182,"Oceania","Australia and New Zealand"
"AUS",2004,"Australia",43.764,25.886,4.593,13.285,"Oceania","Australia and New Zealand"
"AUS",1990,"Australia",17.04,10.389,0.884,5.767,"Oceania","Australia and New Zealand"
"AUS",1996,"Australia",28.095,19.792,1.411,6.892,"Oceania","Australia and New Zealand"
"AUS",2019,"Australia",101.511,-17.067,123.13,-4.552,"Oceania","Australia and New Zealand"
"AUS",2015,"Australia",18.275,18.531,20.071,-20.327,"Oceania","Australia and New Zealand"
"AUS",1998,"Australia",28.712,23.625,5.648,-0.561,"Oceania","Australia and New Zealand"
"AUS",2018,"Australia",7.868,-9.109,1.851,15.126,"Oceania","Australia and New Zealand"
"AUS",1980,"Australia",7.89,9.222,14.291,-15.622,"Oceania","Australia and New Zealand"
"AUS",1975,"Australia",8.81,8.472,3.968,-3.631,"Oceania","Australia and New Zealand"
"AUS",1993,"Australia",28.986,2.931,6.124,19.931,"Oceania","Australia and New Zealand"
"AUS",1987,"Australia",25.762,15.875,3.065,6.822,"Oceania","Australia and New Zealand"
"AUS",2013,"Australia",-0.311,-28.222,17.828,10.083,"Oceania","Australia and New Zealand"
"AUS",2002,"Australia",18.092,13.183,6.455,-1.546,"Oceania","Australia and New Zealand"
"AUS",2007,"Australia",18.936,-5.684,30.768,-6.148,"Oceania","Australia and New Zealand"
"AUS",1976,"Australia",27.374,9.25,10.407,7.717,"Oceania","Australia and New Zealand"
"AUS",2003,"Australia",18.638,17.15,1.795,-0.307,"Oceania","Australia and New Zealand"
"AUS",2016,"Australia",0.402,-0.354,-3.809,4.565,"Oceania","Australia and New Zealand"
"AUT",1970,"Austria",18.704,3.918,4.969,9.818,"Europe","Western Europe"
"AUT",2006,"Austria",-5.906,-0.04,-5.745,-0.121,"Europe","Western Europe"
"AUT",1989,"Austria",2.313,0.194,3.875,-1.756,"Europe","Western Europe"
"AUT",1995,"Austria",10.976,4.884,6.406,-0.314,"Europe","Western Europe"
"AUT",1985,"Austria",3.718,-0.071,3.602,0.187,"Europe","Western Europe"
"AUT",1967,"Austria",0.953,-3.017,-0.789,4.759,"Europe","Western Europe"
"AUT",2011,"Austria",-14.789,1.059,-5.71,-10.137,"Europe","Western Europe"
"AUT",1973,"Austria",14.002,-0.284,3.481,10.805,"Europe","Western Europe"
"AUT",2009,"Austria",-21.046,-10.926,-2.366,-7.754,"Europe","Western Europe"
"AUT",1981,"Austria",-14.491,1.015,-2.25,-13.257,"Europe","Western Europe"
"AUT",1991,"Austria",16.326,2.332,3.729,10.265,"Europe","Western Europe"
"AUT",1990,"Austria",15.056,4.413,5.675,4.968,"Europe","Western Europe"
"AUT",1988,"Austria",-5.089,-1.906,-2.301,-0.882,"Europe","Western Europe"
"AUT",1992,"Austria",-15.924,-11.09,-1.182,-3.652,"Europe","Western Europe"
"AUT",1969,"Austria",12.023,-0.837,4.1,8.76,"Europe","Western Europe"
"AUT",2012,"Austria",-7.115,-2.865,-4.177,-0.074,"Europe","Western Europe"
"AUT",1997,"Austria",1.718,2.458,-2.935,2.195,"Europe","Western Europe"
"AUT",1978,"Austria",12.533,0.602,1.948,9.983,"Europe","Western Europe"
"AUT",1980,"Austria",-4.339,1.149,-1.966,-3.521,"Europe","Western Europe"
"AUT",2010,"Austria",20.109,5.87,7.809,6.431,"Europe","Western Europe"
"AUT",1974,"Austria",-8.906,2.553,3.241,-14.7,"Europe","Western Europe"
"AUT",1994,"Austria",1.256,0.496,1.939,-1.179,"Europe","Western Europe"
"AUT",1972,"Austria",7.359,-4.78,2.623,9.516,"Europe","Western Europe"
"AUT",1977,"Austria",-12.174,-7.26,0.91,-5.825,"Europe","Western Europe"
"AUT",2005,"Austria",3.97,-0.138,4.785,-0.676,"Europe","Western Europe"
"AUT",2000,"Austria",-1.844,4.909,-3.722,-3.031,"Europe","Western Europe"
"AUT",2001,"Austria",18.179,1.402,4.677,12.1,"Europe","Western Europe"
"AUT",1968,"Austria",12.438,-0.677,1.197,11.918,"Europe","Western Europe"
"AUT",2015,"Austria",6.8,2.818,4.571,-0.589,"Europe","Western Europe"
"AUT",1987,"Austria",5.544,-0.363,2.265,3.642,"Europe","Western Europe"
"AUT",1966,"Austria",5.136,-2.647,1.292,6.491,"Europe","Western Europe"
"AUT",1999,"Austria",-1.082,-0.26,1.72,-2.543,"Europe","Western Europe"
"AUT",1986,"Austria",-0.85,-5.513,-1.57,6.232,"Europe","Western Europe"
"AUT",1993,"Austria",0.526,-3.923,3.33,1.119,"Europe","Western Europe"
"AUT",1979,"Austria",8.695,3.284,-0.428,5.839,"Europe","Western Europe"
"AUT",2007,"Austria",-16.145,-1.538,-4.823,-9.784,"Europe","Western Europe"
"AUT",2008,"Austria",3.92,-0.543,5.977,-1.513,"Europe","Western Europe"
"AUT",2017,"Austria",10.612,1.272,7.277,2.063,"Europe","Western Europe"
"AUT",1975,"Austria",-5.101,-6.382,-0.05,1.332,"Europe","Western Europe"
"AUT",2002,"Austria",2.557,0.699,-1.397,3.255,"Europe","Western Europe"
"AUT",2013,"Austria",0.938,0.641,-4.237,4.534,"Europe","Western Europe"
"AUT",2003,"Austria",24.04,2.968,8.144,12.927,"Europe","Western Europe"
"AUT",1982,"Austria",-10.343,-2.144,-1.469,-6.73,"Europe","Western Europe"
"AUT",1998,"Austria",2.38,-5.139,2.082,5.437,"Europe","Western Europe"
"AUT",1984,"Austria",8.082,6.231,5.133,-3.281,"Europe","Western Europe"
"AUT",1971,"Austria",12.151,-4.621,4.209,12.563,"Europe","Western Europe"
"AUT",2014,"Austria",-16.081,-3.201,-6.895,-5.985,"Europe","Western Europe"
"AUT",2004,"Austria",-4.682,-0.971,0.863,-4.574,"Europe","Western Europe"
"AUT",1996,"Austria",9.75,0.172,4.904,4.674,"Europe","Western Europe"
"AUT",1983,"Austria",0.031,2.95,0.902,-3.821,"Europe","Western Europe"
"AUT",2016,"Austria",5.89,-2.734,3.741,4.883,"Europe","Western Europe"
"AUT",2018,"Austria",-4.865,-3.034,-3.829,1.998,"Europe","Western Europe"
"AUT",1976,"Austria",19.38,2.719,5.808,10.852,"Europe","Western Europe"
"AUT",2019,"Austria",6.978,1.738,2.135,3.105,"Europe","Western Europe"
"AZE",2011,"Azerbaijan",16.691,-0.007,7.753,8.945,"Asia","Western Asia"
"AZE",2017,"Azerbaijan",-2.653,0,-3.14,0.487,"Asia","Western Asia"
"AZE",2018,"Azerbaijan",4.646,0,1.992,2.654,"Asia","Western Asia"
"AZE",1993,"Azerbaijan",-30.372,-0.105,-30.003,-0.264,"Asia","Western Asia"
"AZE",2014,"Azerbaijan",3.49,-0.014,4.515,-1.01,"Asia","Western Asia"
"AZE",2013,"Azerbaijan",4.902,-0.007,0.415,4.494,"Asia","Western Asia"
"AZE",1994,"Azerbaijan",-13.344,0.012,-5.46,-7.896,"Asia","Western Asia"
"AZE",1987,"Azerbaijan",-7.809,0,-1.818,-5.99,"Asia","Western Asia"
"AZE",2012,"Azerbaijan",6.627,-0.014,4.413,2.229,"Asia","Western Asia"
"AZE",2016,"Azerbaijan",-2.547,-0.022,-2.159,-0.367,"Asia","Western Asia"
"AZE",1991,"Azerbaijan",-10.489,-0.256,-6.639,-3.594,"Asia","Western Asia"
"AZE",1989,"Azerbaijan",4.836,0,7.278,-2.442,"Asia","Western Asia"
"AZE",2002,"Azerbaijan",-3.548,-0.012,0.214,-3.751,"Asia","Western Asia"
"AZE",2003,"Azerbaijan",9.022,0.012,1.93,7.08,"Asia","Western Asia"
"AZE",2009,"Azerbaijan",-17.57,0,-14.664,-2.906,"Asia","Western Asia"
"AZE",2004,"Azerbaijan",17.378,-0.024,13.429,3.973,"Asia","Western Asia"
"AZE",1995,"Azerbaijan",-9.405,-0.012,-0.912,-8.482,"Asia","Western Asia"
"AZE",2019,"Azerbaijan",11.58,0,9.734,1.846,"Asia","Western Asia"
"AZE",1992,"Azerbaijan",-35.869,-0.64,-32.748,-2.482,"Asia","Western Asia"
"AZE",1986,"Azerbaijan",19.363,0,14.731,4.632,"Asia","Western Asia"
"AZE",2015,"Azerbaijan",13.743,0.014,12.921,0.808,"Asia","Western Asia"
"AZE",2006,"Azerbaijan",-1.302,0,5.384,-6.686,"Asia","Western Asia"
"AZE",2007,"Azerbaijan",-15.146,0.02,-11.908,-3.258,"Asia","Western Asia"
"AZE",1997,"Azerbaijan",-6.099,0,-2.73,-3.369,"Asia","Western Asia"
"AZE",2008,"Azerbaijan",1.824,-0.014,12.638,-10.799,"Asia","Western Asia"
"AZE",2005,"Azerbaijan",12.256,0.027,3.004,9.225,"Asia","Western Asia"
"AZE",1996,"Azerbaijan",-28.817,0,-20.912,-7.905,"Asia","Western Asia"
"AZE",1999,"Azerbaijan",0.761,0,3.646,-2.885,"Asia","Western Asia"
"AZE",1988,"Azerbaijan",0.498,0,-1.818,2.316,"Asia","Western Asia"
"AZE",2010,"Azerbaijan",-4.725,0.022,-4.233,-0.514,"Asia","Western Asia"
"AZE",1998,"Azerbaijan",-0.21,-0.035,-3.646,3.471,"Asia","Western Asia"
"AZE",2000,"Azerbaijan",5.455,0,-1.823,7.278,"Asia","Western Asia"
"AZE",1990,"Azerbaijan",7.657,-0.035,2.998,4.694,"Asia","Western Asia"
"AZE",2001,"Azerbaijan",-4.05,0.035,22.911,-26.996,"Asia","Western Asia"
"BEL",1970,"Belgium",28.67,-11.556,14.417,25.809,"Europe","Western Europe"
"BEL",1967,"Belgium",19.727,-3.774,3.729,19.771,"Europe","Western Europe"
"BEL",1977,"Belgium",-5.323,1.491,-1.642,-5.173,"Europe","Western Europe"
"BEL",1981,"Belgium",-28.965,4.378,-8.051,-25.292,"Europe","Western Europe"
"BEL",1991,"Belgium",21.312,-5.371,6.38,20.303,"Europe","Western Europe"
"BEL",2014,"Belgium",-27.595,-1.879,-20.7,-5.015,"Europe","Western Europe"
"BEL",1993,"Belgium",-5.733,-5.582,4.892,-5.043,"Europe","Western Europe"
"BEL",1995,"Belgium",3.675,-4.836,11.95,-3.438,"Europe","Western Europe"
"BEL",1978,"Belgium",22.445,2.549,-0.845,20.741,"Europe","Western Europe"
"BEL",1989,"Belgium",9.843,5.426,9.338,-4.922,"Europe","Western Europe"
"BEL",2007,"Belgium",-0.142,-5.09,1.301,3.647,"Europe","Western Europe"
"BEL",1990,"Belgium",31.008,11.097,2.454,17.456,"Europe","Western Europe"
"BEL",1988,"Belgium",8.384,1.115,-1.111,8.379,"Europe","Western Europe"
"BEL",2008,"Belgium",18.667,-0.671,-1.176,20.513,"Europe","Western Europe"
"BEL",1987,"Belgium",9.309,-0.516,7.922,1.904,"Europe","Western Europe"
"BEL",1969,"Belgium",45.51,-5.374,13.036,37.848,"Europe","Western Europe"
"BEL",1984,"Belgium",12.137,17.238,2.642,-7.743,"Europe","Western Europe"
"BEL",1968,"Belgium",47.838,6.467,7.244,34.128,"Europe","Western Europe"
"BEL",1980,"Belgium",-28.539,0.979,-4.674,-24.845,"Europe","Western Europe"
"BEL",1986,"Belgium",3.379,-18.317,-8.769,30.465,"Europe","Western Europe"
"BEL",1992,"Belgium",-4.249,-12.421,3.123,5.048,"Europe","Western Europe"
"BEL",1998,"Belgium",17.592,-0.485,12.599,5.478,"Europe","Western Europe"
"BEL",1972,"Belgium",33.231,-7.034,14.299,25.966,"Europe","Western Europe"
"BEL",2010,"Belgium",40.983,9.255,18.299,13.429,"Europe","Western Europe"
"BEL",2009,"Belgium",-59.292,-18.971,1.726,-42.047,"Europe","Western Europe"
"BEL",2006,"Belgium",2.724,-0.789,4.954,-1.441,"Europe","Western Europe"
"BEL",2002,"Belgium",-5.157,-12.058,4.949,1.952,"Europe","Western Europe"
"BEL",2003,"Belgium",28.729,-2.367,10.341,20.756,"Europe","Western Europe"
"BEL",2000,"Belgium",18.51,8.532,0.803,9.176,"Europe","Western Europe"
"BEL",1997,"Belgium",-4.735,-6.545,-6.376,8.187,"Europe","Western Europe"
"BEL",2011,"Belgium",-57.723,-2.552,-28.8,-26.371,"Europe","Western Europe"
"BEL",1966,"Belgium",-15.179,-19.566,0.592,3.796,"Europe","Western Europe"
"BEL",1985,"Belgium",3.528,-0.352,0.414,3.467,"Europe","Western Europe"
"BEL",1973,"Belgium",7.065,-24.056,13.959,17.162,"Europe","Western Europe"
"BEL",1979,"Belgium",19.539,12.391,9.181,-2.033,"Europe","Western Europe"
"BEL",1974,"Belgium",-19.926,8.74,14.285,-42.95,"Europe","Western Europe"
"BEL",1982,"Belgium",-30.452,0.198,-15.894,-14.756,"Europe","Western Europe"
"BEL",2018,"Belgium",12.451,-0.305,4.626,8.13,"Europe","Western Europe"
"BEL",1975,"Belgium",-51.345,-33.988,-1.162,-16.194,"Europe","Western Europe"
"BEL",1994,"Belgium",38.74,7.507,2.483,28.75,"Europe","Western Europe"
"BEL",2017,"Belgium",8.238,-0.768,2.223,6.782,"Europe","Western Europe"
"BEL",1983,"Belgium",-39.797,-18.55,3.123,-24.369,"Europe","Western Europe"
"BEL",2015,"Belgium",25.639,0.209,13.869,11.561,"Europe","Western Europe"
"BEL",2019,"Belgium",-6.978,-0.741,5.094,-11.331,"Europe","Western Europe"
"BEL",2001,"Belgium",-0.312,-4.209,-1.887,5.784,"Europe","Western Europe"
"BEL",1971,"Belgium",-9.764,-32.518,15.063,7.691,"Europe","Western Europe"
"BEL",2013,"Belgium",9.684,2.288,-2.07,9.465,"Europe","Western Europe"
"BEL",2004,"Belgium",2.813,-4.895,3.214,4.493,"Europe","Western Europe"
"BEL",1996,"Belgium",37.569,-4.422,13.895,28.096,"Europe","Western Europe"
"BEL",1976,"Belgium",22.634,4.225,5.417,12.993,"Europe","Western Europe"
"BEL",2016,"Belgium",7.453,-2.044,3.393,6.104,"Europe","Western Europe"
"BEL",1999,"Belgium",-14.277,-11.325,9.816,-12.769,"Europe","Western Europe"
